id,source_id,source_variant_id,source,name,active,handle
02dcd191-ae62-11e6-edd8-d370ed49364e,,,USER,Frame Ribba Black 30x40,true,FrameRibbaBlack30x40
02dcd191-ae62-11e6-edd8-d3711b578b96,,,USER,frame mossebo 21x30 wood look,true,framemossebo21x30woodlook
02dcd191-ae62-11e6-edd8-d37150631c43,,,USER,Frame Ribba 23x23 white,true,FrameRibba23x23white
02dcd191-ae62-11e6-edd8-d371dae7b8b2,,,USER,Himmelsk Bed Canopy clouds,true,HimmelskBedCanopyclouds
02dcd191-ae62-11e6-edd8-d37ce1322ab4,,,USER,Blanket Dream Plaid Pink Patchwork,true,BlanketDreamPlaidPinkPatchwork
02dcd191-ae62-11e6-edd8-d37d222b397c,4257446559804,39569189970_unpub,SHOPIFY,Cushion Star Multi De Eekhoorn,true,CushionStarMultiDeEekhoorn
02dcd191-ae62-11e6-edd8-d385e665269e,,,USER,Cushion Bambi Mars&More,true,CushionBambiMarsMore
02dcd191-ae62-11e6-edd8-d3ff6c35e48d,,,USER,Cushion Linen LookFedera 45x45,true,CushionLinenLookFedera45x45
02dcd191-ae62-11e6-edd8-d3ff6cab1b6d,,,USER,Cushion Linen LookFedera 45x45,true,CushionLinenLookFedera45x45
02dcd191-ae62-11e6-edd8-d4002e398554,,,USER,Quote Board Riding Scooter,true,QuoteBoardRidingScooter
02dcd191-ae62-11e6-edd8-d400f3b3d564,,,USER,Cushion Pineapples 36x23,true,CushionPineapples36x23
02dcd191-ae62-11e6-edd8-d401957d0194,,,USER,Blanket Bedspread Black Beige Patchwork,true,BlanketBedspreadBlackBeigePatchwork
02dcd191-ae62-11e6-edd8-d406e8760c35,,,USER,blanket Bedspread Aeroplanes 140x220,true,blanketBedspreadAeroplanes140x220
02dcd191-ae62-11e6-edd8-d407169386c2,,,USER,blanket Bedspread Elephant140x220,true,blanketBedspreadElephant140x220
02dcd191-ae62-11e6-edd8-d40895d72b7f,,,USER,Cushion Cover Aeroplanes 40x40,true,CushionCoverAeroplanes40x40
02dcd191-ae62-11e6-edd8-d408cebd6948,,,USER,Cushion Cover Aeroplanes 50x50,true,CushionCoverAeroplanes50x50
02dcd191-ae62-11e6-edd8-d4091e35b31f,,,USER,Cushion Cover Elephant 40x40,true,CushionCoverElephant40x40
02dcd191-ae62-11e6-edd8-d409465e0219,,,USER,Cushion Cover Elephants 50x50,true,CushionCoverElephants50x50
02dcd191-ae62-11e6-edd8-d413c50c59e2,,,USER,Cushion Cover Grey with Beige star Clayre&Eef,true,CushionCoverGreywithBeigestarClayreEef
02dcd191-ae62-11e6-edd8-d41a34f33934,,,USER,Cushion Cover Flag Sac Canvas 50x50,true,CushionCoverFlagSacCanvas50x50
02dcd191-ae62-11e6-edd8-d42049d30e91,,,USER,Childhome Fitted Sheet 50x90 co sleeper,true,ChildhomeFittedSheet50x90cosleeper
02dcd191-ae62-11e6-edd8-d4207dbc7a8b,10400690770_unpub,41824757330_unpub,USER,Mattress Protector 50x90 co sleeper,true,ChildhomeMattressProtector75x95cosleeper
02dcd191-ae62-11e6-edd8-d6a2845f0025,,,USER,Souza Skirt Liz,true,SouzaSkirtLiz
02dcd191-ae62-11e6-edd8-d6a2aa5ed432,,,USER,Souza Elf Set,true,SouzaElfSet
02dcd191-ae62-11e6-edd8-d6a2ce741e97,,,USER,Souza Elf Set Nathalee,true,SouzaElfSetNathalee
02dcd191-ae62-11e6-edd8-d7f782b279bb,9677325842,35513098770,SHOPIFY,Light Box Letter Pack & Symbols,true,lightboxletterpacksymbols
37f981e8-cc8d-9a75-bd08-e6297ca4619a,9677325842,21933256605756,SHOPIFY,Light Box Letter Pack & Symbols,true,lightboxletterpacksymbols
02dcd191-ae62-11e6-edd8-d977780dc55b,,,USER,Nom Nom Ethan Necklace,true,NomNomEthanNecklace
02dcd191-ae62-11e6-edd8-d97cc7bd3214,,,USER,Nom Nom Ethan Necklace,true,NomNomEthanNecklace
02dcd191-ae62-11e6-edd8-d97cdd29669a,,,USER,Nom Nom Ethan Necklace,true,NomNomEthanNecklace
02dcd191-ae62-11e6-edd8-d97d1238f4f6,,,USER,Nom Nom Ethan Necklace,true,NomNomEthanNecklace
